Country,Latitude,Longitude,2020 Inflation rate,country's currency,conversion rate to USD (1 USD),"conversion rate to BITCOIN (1 BTC = $11,924)",1 mBTC = 0.001 BTC,"1 μBTC = 0,00001 BTC"
,,,,,,,,
Israel,31.0461,34.8516,-1.9,shekel,3.40,"40,541.60",40.54,0.41
Puerto Rico,18.2208,-66.5901,-1.5,dollar,1.00,"11,924.00",11.92,0.12
Qatar,25.3548,51.1839,-1.2,rial,3.64,"43,403.36",43.40,0.43
Thailand,15.0086,100.9557,-1.1,baht,31.26,"372,744.24",372.74,3.73
Trinidad and Tobago,10.4188, -61.293797,-1,T&T dollar,6.77,"80,725.48",80.73,0.81
United Arab Emirates,23.3410,52.9063,-1,dirham,3.67,"43,761.08",43.76,0.44
Marshall Islands,7.1482,171.0374,-0.9,euro,0.85,"10,135.40",10.14,0.10
North Macedonia ,41.6027,21.7078,-0.9,denar,0.85,"10,135.40",10.14,0.10
Panama,8.5205,-80.0902,-0.9,balboa,1.00,"11,924.00",11.92,0.12
Benin,10.7757,2.6937,-0.8,franc,101.67,"1,212,313.08","1,212.31",12.12
Lebanon,33.9417,35.9239,17,pound,"1,514.50","18,058,898.00","18,058.90",180.59
Angola, -12.2971,17.2801,20.7,kwanza,576.98,"6,879,909.52","6,879.91",68.80
Haiti,18.9329, -72.671188,22.2,gourde,110.83,"1,321,536.92","1,321.54",13.22
Libya,28.0463,16.3665,22.3,dinar,1.38,"16,455.12",16.46,0.16
Yemen,14.6742,45.5858,26.7,rial,1.38,"16,455.12",16.46,0.16
Suriname,4.1314,-55.9203,27.9,dollar,1.38,"16,455.12",16.46,0.16
Iran,32.0286,54.4904,34.2,rial,"42,105.00","502,060,020.00","502,060.02","5,020.60"
Sudan,13.1780,30.2310,81.3,pound,55.30,"659,397.20",659.40,6.59
Zimbabwe, -19.4471,29.8152,319,dollar,361.90,"4,315,295.60","4,315.30",43.15
Venezuela,7.1595,-66.2457,15000,bolivar,"257,785.57","3,073,835,136.68","3,073,835.14","30,738.35"
,,,,,,,,
Argentina,no data,,,,,,,
Syria,no data,,,,,,,
,,,,,,,,
"©IMF, 2020",,,,,,,,
,,,,,,,,
,,,,,,,,
"The general unit structure of bitcoins has 1 bitcoin (BTC) equivalent to 1,000 millibitcoins (mBTC), 1,000,000 microbitcoins (μBTC), or 100,000,000 satoshis.",,,,,,,,
